"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_age","participant_gender","rt","stimulus","response","task","pixels_per_unit","is_correct","search_difficulty","enhanced","originalDigits","currentSpanLength","reversedDigits","span_length","correct_digits","digit_accuracy","trial_Type","VISsearch_propcorrect","VISsearch_meanRT","DSBpre_propcorrect","DSBpre_maxspan","DSBpre_digitaccuracy","DSBpre_rt","vegetationLevel","imageType","DSBpost_propcorrect","DSBpost_maxspan","DSBpost_digitaccuracy","DSBpost_rt","block","trial","trialid","VisDifficulty","Vis_meanRT","Vis_propCorr","imageIDX","attention_check_correct","target_button","question_order","image_id","iamge_set"
"","","","","","dsb-summary-calculation","169","1062137","0.0-163.0","39","male","null","","null","","","","","","","","","","","","","","","","","","","","","1","8","1","1064643.300000012","","","","","","","","","","","",""
"","","","","","consolidated-trial-data","170","1062138","0.0-164.0","39","male","null","consolidated-trial-data","null","consolidated-trial-data","","","","","","","","","","","","","","1","8","1","","3","2","1","8","1","","0","4","39","1","944.0700000017881","1","6","","","","",""
"","","","","","html-button-response","171","1064976","0.0-165.0","39","male","2837","block message","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","172","1066976","0.0-166.0","39","male","1999","VS_instruct","0","VS_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","173","1068089","0.0-167.0","39","male","1112.4000000059605","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","174","1068874","0.0-168.0","39","male","783.7999999821186","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","175","1070422","0.0-169.0","39","male","1546.0999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","176","1071126","0.0-170.0","39","male","703.0999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","177","1072371","0.0-171.0","39","male","1244.300000011921","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","178","1073332","0.0-172.0","39","male","960.2000000178814","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","179","1074231","0.0-173.0","39","male","897.5","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","180","1075580","0.0-174.0","39","male","1347.800000011921","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","181","1077962","0.0-175.0","39","male","2381.199999988079","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","182","1079236","0.0-176.0","39","male","1272.5999999940395","VisSearch","","VisSearch","","true","1","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","183","1079238","0.0-177.0","39","male","null","","null","","","","","","","","","","","","vissearch-summary-calculation","1","1224.9","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","184","1083020","0.0-178.0","39","male","3781","DSB_instruct","0","DSB_instruct","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","185","1091950","0.0-179.0","39","male","","DSB","","DSB 97188930","","","","","[9,7,1,8,8,9,3,0]","8","03988179","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","186","1124814","0.0-180.0","39","male","1127322.800000012","DSBrecall","08381979","DSBrecall","","false","","","","","","8","4","0.5","","","","","","","","","","","","","","","","","","","","","","","","",""
